sampleID	Mouse_ID	UCAR_Cage_Number	Diet	Supplement	Diet_Supplement	week	weight	TibiaCFU-g	AbscessCFU-g
DMOF6_F2_wk12	F2	UCAR1519093	HighFat	Oligofructose	Obese_OF	12	43.5		
DMOF6_F3_wk12	F3	UCAR1519093	HighFat	Oligofructose	Obese_OF	12	47.9		
DMOF6_F4_wk12	F4	UCAR1519093	HighFat	Oligofructose	Obese_OF	12	44.3		
DMOF6_G1_wk12	G1	UCAR1519094	Lean	Oligofructose	Lean_OF	12	25.2		
DMOF6_G2_wk12	G2	UCAR1519094	Lean	Oligofructose	Lean_OF	12	26.2		
DMOF6_G3_wk12	G3	UCAR1519094	Lean	Oligofructose	Lean_OF	12	32.5		
DMOF6_G4_wk12	G4	UCAR1519094	Lean	Oligofructose	Lean_OF	12	25.7		
DMOF6_H1_wk12	H1	UCAR1519095	HighFat	Oligofructose	Obese_OF	12	45.9		
DMOF6_H2_wk12	H2	UCAR1519095	HighFat	Oligofructose	Obese_OF	12	47.4		
DMOF6_H3_wk12	H3	UCAR1519095	HighFat	Oligofructose	Obese_OF	12	41.8		
DMOF6_H4_wk12	H4	UCAR1519095	HighFat	Oligofructose	Obese_OF	12	42.3		
DMOF6_A1_wk14	A1	UCAR1519088	Lean	Cellulose	Lean_CL	14	31.9		
DMOF6_A2_wk14	A2	UCAR1519088	Lean	Cellulose	Lean_CL	14	32.4		
DMOF6_A3_wk14	A3	UCAR1519088	Lean	Cellulose	Lean_CL	14	29.9		
DMOF6_A4_wk14	A4	UCAR1519088	Lean	Cellulose	Lean_CL	14	26.8		
DMOF6_B1_wk14	B1	UCAR1519089	HighFat	Cellulose	Obese_CL	14			
DMOF6_B2_wk14	B2	UCAR1519089	HighFat	Cellulose	Obese_CL	14	40.5		
DMOF6_B3A_wk14	B3A	UCAR1519089	HighFat	Cellulose	Obese_CL	14	42.4		
DMOF6_B3B_wk14	B3B	UCAR1519089	HighFat	Cellulose	Obese_CL	14	42.4		
DMOF6_B4_wk14	B4	UCAR1519089	HighFat	Cellulose	Obese_CL	14	46.5		
